Inventory_ID,PO_ID,Product_ID,Warehouse_ID,Snapshot_Date,Opening_Stock,Stock_In,Stock_Out,Closing_Stock,Reorder_Level,Safety_Stock,Inventory_Value_INR,Stock_Status,Capacity_Utilization_Percent,Calculated_Closing_Stock,Inventory_Quality_Flag
INVT000025,PO000025,P0135,WH004,2026-03-18,19,982,967,34,182,127,2090526.72,Reorder,0.23,34,Valid
INVT000026,PO000026,P0067,WH003,2025-03-16,152,73,89,136,217,184,6829416.8,Reorder,0.51,136,Valid
INVT000027,PO000027,P0208,WH003,2025-12-04,467,132,61,538,159,116,16576517.06,Normal,2.02,538,Valid
INVT000028,PO000028,P0114,WH001,2026-07-01,215,631,780,66,70,236,4315114.98,Reorder,0.28,66,Valid
INVT000029,PO000029,P0293,WH002,2025-05-19,374,929,1227,76,212,211,3304587.16,Reorder,0.41000000000000003,76,Valid
INVT000030,PO000030,P0298,WH002,2025-08-04,937,346,421,862,432,66,12865556.88,Normal,4.65,862,Valid
INVT000031,PO000031,P0189,WH004,2025-02-01,179,538,271,446,72,109,23646754.98,Overstock,3.05,446,Valid
INVT000032,PO000032,P0125,WH003,2026-06-16,199,607,714,92,177,14,1150572.24,Reorder,0.35000000000000003,92,Valid
INVT000033,PO000033,P0076,WH002,2025-05-20,113,282,32,363,315,60,26748068.82,Normal,1.96,363,Valid
INVT000034,PO000034,P0298,WH004,2025-12-28,618,467,458,627,432,66,9138662.94,Normal,4.29,627,Valid
INVT000035,PO000035,P0069,WH002,2025-10-25,488,350,408,430,302,96,17189293.0,Normal,2.32,430,Valid
INVT000036,PO000036,P0126,WH004,2025-11-18,114,708,486,336,226,14,20115805.92,Normal,2.3,336,Valid
INVT000037,PO000037,P0205,WH001,2025-06-17,555,158,140,573,480,72,14121636.57,Normal,2.47,573,Valid
INVT000038,PO000038,P0053,WH002,2025-06-17,68,825,1087,0,53,166,0.0,Stockout,0.0,0,Valid
INVT000039,PO000039,P0294,WH002,2025-05-29,386,561,437,510,481,19,24366183.3,Normal,2.75,510,Valid
INVT000040,PO000040,P0288,WH003,2025-03-25,117,847,833,131,42,71,4625341.45,Normal,0.49,131,Valid
INVT000041,PO000041,P0214,WH001,2026-06-06,358,819,317,860,124,156,22571336.4,Overstock,3.71,860,Valid
INVT000042,PO000042,P0270,WH004,2025-12-24,819,216,56,979,429,112,70447958.9,Normal,6.7,979,Valid
INVT000043,PO000043,P0045,WH004,2025-12-07,1380,462,338,1504,388,79,71509905.92,Normal,10.3,1504,Valid
INVT000044,PO000044,P0082,WH001,2025-08-04,402,441,235,608,151,103,35152638.72,Normal,2.62,608,Valid
INVT000045,PO000045,P0080,WH002,2025-11-22,759,738,179,1318,332,36,54178077.04,Normal,7.11,1318,Valid
INVT000046,PO000046,P0265,WH003,2025-06-11,618,912,183,1347,167,227,37335984.36,Overstock,5.05,1347,Valid
INVT000047,PO000047,P0150,WH003,2025-04-21,274,837,697,414,80,75,26059660.56,Overstock,1.55,414,Valid
INVT000048,PO000048,P0112,WH004,2025-10-26,1595,408,110,1893,439,184,44121778.98,Normal,12.96,1893,Valid
INVT000049,PO000049,P0237,WH001,2025-01-17,437,983,913,507,290,24,13233425.01,Normal,2.19,507,Valid
INVT000050,PO000050,P0138,WH004,2025-07-24,81,274,157,198,183,201,11868741.72,Normal,1.3599999999999999,198,Valid
INVT000051,PO000051,P0222,WH002,2026-01-04,1122,126,7,1241,372,47,94528955.6,Normal,6.69,1241,Valid
INVT000052,PO000052,P0278,WH003,2025-06-02,460,412,132,740,495,236,14007408.2,Normal,2.7800000000000002,740,Valid
INVT000053,PO000053,P0168,WH003,2025-05-27,306,743,57,992,156,80,84343639.36,Overstock,3.7199999999999998,992,Valid
INVT000054,PO000054,P0058,WH004,2025-01-06,1277,114,116,1275,459,191,10195690.5,Normal,8.73,1275,Valid
INVT000055,PO000055,P0106,WH001,2026-03-02,595,359,44,910,213,184,16920913.1,Normal,3.93,910,Valid
INVT000056,PO000056,P0167,WH002,2025-03-03,1162,172,103,1231,451,169,21710753.08,Normal,6.64,1231,Valid
INVT000057,PO000057,P0133,WH003,2025-03-26,131,849,582,398,118,125,25909525.38,Normal,1.49,398,Valid
INVT000058,PO000058,P0160,WH001,2025-01-29,562,866,1293,135,173,173,5564246.4,Reorder,0.58,135,Valid
INVT000059,PO000059,P0100,WH001,2025-01-25,1081,988,1427,642,311,64,513908.16,Normal,2.77,642,Valid
INVT000060,PO000060,P0281,WH003,2025-12-23,181,685,830,36,94,20,1988582.4,Reorder,0.14,36,Valid
INVT000061,PO000061,P0250,WH001,2026-05-20,1376,308,216,1468,485,23,85405450.8,Normal,6.34,1468,Valid
INVT000062,PO000062,P0256,WH002,2025-05-12,10,754,139,625,29,170,28241968.75,Overstock,3.37,625,Valid
INVT000063,PO000063,P0296,WH002,2026-07-03,1657,700,654,1703,422,228,72250711.65,Normal,9.18,1703,Valid
INVT000064,PO000064,P0151,WH002,2025-09-17,132,850,334,648,390,115,4715230.32,Normal,3.49,648,Valid
INVT000065,PO000065,P0074,WH003,2025-01-06,113,399,298,214,87,78,11713127.36,Normal,0.8,214,Valid
INVT000066,PO000066,P0233,WH004,2025-12-13,172,559,97,634,59,136,24232855.78,Overstock,4.34,634,Valid
INVT000067,PO000067,P0129,WH003,2025-06-07,290,380,238,432,126,140,8667315.36,Normal,1.62,432,Valid
INVT000068,PO000068,P0044,WH002,2026-03-25,557,571,417,711,177,19,40325758.56,Normal,3.83,711,Valid
INVT000069,PO000069,P0241,WH003,2025-10-06,282,959,1181,60,252,138,1506047.4,Reorder,0.23,60,Valid
INVT000070,PO000070,P0231,WH004,2026-06-02,456,686,534,608,295,51,25039458.56,Normal,4.16,608,Valid
INVT000071,PO000071,P0070,WH002,2025-10-19,136,554,315,375,306,185,25865880.0,Normal,2.02,375,Valid
INVT000072,PO000072,P0078,WH002,2026-06-17,346,238,284,300,89,82,15201486.0,Normal,1.62,300,Valid
INVT000073,PO000073,P0254,WH003,2025-01-03,728,463,53,1138,193,239,82793767.5,Overstock,4.27,1138,Valid
INVT000074,PO000074,P0211,WH001,2025-02-14,476,916,479,913,173,144,44093745.85,Overstock,3.94,913,Valid
INVT000075,PO000075,P0067,WH002,2025-04-02,207,757,629,335,217,184,17203616.8,Normal,1.81,335,Valid
INVT000076,PO000076,P0073,WH004,2026-02-19,768,345,3,1110,216,72,31936187.4,Overstock,7.6,1110,Valid
INVT000077,PO000077,P0160,WH004,2025-04-10,329,716,819,226,173,173,9522157.44,Normal,1.55,226,Valid
INVT000078,PO000078,P0009,WH004,2025-04-06,1219,614,550,1283,435,127,55562162.52,Normal,8.78,1283,Valid
INVT000079,PO000079,P0030,WH004,2026-06-10,512,619,236,895,258,168,70899241.85,Normal,6.13,895,Valid
INVT000080,PO000080,P0104,WH004,2025-03-07,423,561,33,951,297,48,25270561.62,Normal,6.51,951,Valid
INVT000081,PO000081,P0222,WH001,2026-05-12,1367,885,274,1978,372,47,155982370.1,Overstock,8.54,1978,Valid
INVT000082,PO000082,P0181,WH002,2025-02-01,16,116,173,0,31,180,0.0,Stockout,0.0,0,Valid
INVT000083,PO000083,P0047,WH003,2025-05-15,105,25,0,130,224,237,11016562.7,Reorder,0.49,130,Valid
INVT000084,PO000084,P0225,WH003,2025-11-28,750,118,64,804,347,132,63492265.92,Normal,3.02,804,Valid
INVT000085,PO000085,P0065,WH002,2026-07-21,655,157,170,642,390,19,27947954.88,Normal,3.46,642,Valid
INVT000086,PO000086,P0219,WH004,2025-03-03,1053,450,304,1199,311,33,109264354.4,Normal,8.21,1199,Valid
INVT000087,PO000087,P0229,WH004,2025-10-06,140,825,752,213,220,105,1400875.44,Reorder,1.46,213,Valid
INVT000088,PO000088,P0107,WH003,2025-01-22,235,930,1138,27,328,235,916791.21,Reorder,0.1,27,Valid
INVT000089,PO000089,P0222,WH001,2026-04-15,942,265,81,1126,372,47,96217217.96,Normal,4.86,1126,Valid
INVT000090,PO000090,P0146,WH001,2025-05-12,153,424,269,308,52,166,18628757.84,Overstock,1.33,308,Valid
INVT000091,PO000091,P0012,WH004,2026-05-28,471,783,497,757,307,35,57804118.79,Normal,5.18,757,Valid
INVT000092,PO000092,P0249,WH004,2025-04-20,120,136,182,74,257,96,800688.14,Reorder,0.51,74,Valid
INVT000093,PO000093,P0292,WH004,2026-01-09,1291,214,16,1489,355,98,99148147.23,Normal,10.19,1489,Valid
INVT000094,PO000094,P0176,WH004,2025-09-02,59,616,377,298,174,94,9518718.98,Normal,2.04,298,Valid
INVT000095,PO000095,P0094,WH003,2025-12-03,37,739,191,585,216,65,15974682.75,Normal,2.2,585,Valid
INVT000096,PO000096,P0152,WH003,2025-03-15,511,983,591,903,360,101,28706017.83,Normal,3.39,903,Valid
INVT000097,PO000097,P0151,WH003,2025-04-30,1531,183,31,1683,390,115,10905368.76,Normal,6.32,1683,Valid
INVT000098,PO000098,P0052,WH001,2025-10-31,263,432,563,132,402,58,2350714.08,Reorder,0.5700000000000001,132,Valid
INVT000099,PO000099,P0090,WH004,2026-02-26,202,19,10,211,76,160,18960409.36,Normal,1.44,211,Valid
INVT000100,PO000100,P0116,WH001,2026-02-08,12,869,740,141,51,95,9526715.76,Normal,0.61,141,Valid
INVT000101,PO000101,P0265,WH003,2026-05-20,221,450,105,566,167,227,17891724.12,Normal,2.12,566,Valid
INVT000102,PO000102,P0075,WH003,2026-03-01,287,200,221,266,105,160,5968412.24,Normal,1.0,266,Valid
INVT000103,PO000103,P0293,WH002,2025-08-17,1,574,257,318,212,211,13706143.44,Normal,1.71,318,Valid
INVT000104,PO000104,P0197,WH001,2025-05-26,76,22,12,86,223,17,2124229.24,Reorder,0.37,86,Valid
INVT000105,PO000105,P0273,WH002,2026-01-15,541,334,240,635,217,132,46096193.05,Normal,3.42,635,Valid
INVT000106,PO000106,P0227,WH001,2025-02-04,65,685,761,0,109,237,0.0,Stockout,0.0,0,Valid
INVT000107,PO000107,P0288,WH001,2026-07-19,32,628,588,72,42,71,2360550.96,Normal,0.31,72,Valid
INVT000108,PO000108,P0217,WH002,2025-04-22,400,981,822,559,394,47,41151338.41,Normal,3.01,559,Valid
INVT000109,PO000109,P0259,WH001,2025-05-07,133,163,200,96,70,12,7552781.76,Normal,0.41000000000000003,96,Valid
INVT000110,PO000110,P0109,WH003,2025-03-26,2,644,625,21,373,189,1335617.64,Reorder,0.08,21,Valid
INVT000111,PO000111,P0263,WH003,2026-02-27,123,300,148,275,72,247,22237355.25,Normal,1.03,275,Valid
INVT000112,PO000112,P0081,WH002,2026-05-23,449,838,951,336,211,168,9163976.64,Normal,1.81,336,Valid
INVT000113,PO000113,P0209,WH001,2026-04-18,746,388,12,1122,236,35,89369880.6,Normal,4.84,1122,Valid
INVT000114,PO000114,P0225,WH001,2025-11-23,1186,683,869,1000,347,132,77166310.0,Normal,4.32,1000,Valid
INVT000115,PO000115,P0240,WH001,2025-11-05,1040,181,49,1172,378,29,95113507.64,Normal,5.06,1172,Valid
INVT000116,PO000116,P0057,WH003,2026-05-03,120,126,94,152,45,53,6847005.68,Normal,0.5700000000000001,152,Valid
INVT000117,PO000117,P0275,WH002,2026-01-27,316,201,21,496,361,144,19813533.44,Normal,2.67,496,Valid
INVT000118,PO000118,P0261,WH002,2025-07-25,133,924,1030,27,132,180,198995.13,Reorder,0.15,27,Valid
INVT000119,PO000119,P0007,WH001,2025-07-19,709,877,429,1157,194,82,71302913.37,Overstock,4.99,1157,Valid
INVT000120,PO000120,P0121,WH003,2026-07-23,344,94,134,304,119,200,4913527.68,Normal,1.1400000000000001,304,Valid
INVT000121,PO000121,P0043,WH003,2026-02-28,1516,621,845,1292,466,119,27389779.84,Normal,4.85,1292,Valid
INVT000122,PO000122,P0057,WH001,2025-09-17,144,406,516,34,45,53,1511038.54,Reorder,0.15,34,Valid
INVT000123,PO000123,P0032,WH002,2025-02-09,127,671,775,23,237,188,387668.22,Reorder,0.12,23,Valid
INVT000124,PO000124,P0257,WH001,2025-10-22,663,952,763,852,336,211,55642867.56,Normal,3.68,852,Valid
INVT000125,PO000125,P0282,WH003,2025-01-20,194,207,261,140,246,248,5398465.8,Reorder,0.53,140,Valid
INVT000126,PO000126,P0136,WH001,2025-11-30,337,32,12,357,441,74,13456832.97,Reorder,1.54,357,Valid
INVT000127,PO000127,P0138,WH004,2026-06-08,685,23,14,694,183,201,39648157.54,Normal,4.75,694,Valid
INVT000128,PO000128,P0267,WH001,2026-07-28,1000,478,52,1426,309,30,14787377.58,Normal,6.15,1426,Valid
INVT000129,PO000129,P0007,WH002,2025-10-24,760,225,79,906,194,82,58445181.18,Normal,4.89,906,Valid
INVT000130,PO000130,P0230,WH003,2025-06-13,88,904,248,744,346,159,42816828.0,Normal,2.79,744,Valid
INVT000131,PO000131,P0276,WH003,2025-05-31,919,507,9,1417,382,193,115919371.2,Normal,5.32,1417,Valid
INVT000132,PO000132,P0044,WH003,2025-08-22,625,523,718,430,177,19,21071591.0,Normal,1.6099999999999999,430,Valid
INVT000133,PO000133,P0027,WH001,2025-10-21,1297,758,1080,975,495,214,58388898.75,Normal,4.21,975,Valid
INVT000134,PO000134,P0177,WH001,2026-04-23,475,146,100,521,450,112,30044574.73,Normal,2.25,521,Valid
INVT000135,PO000135,P0124,WH001,2025-12-17,1100,987,1299,788,411,167,60925252.28,Normal,3.4,788,Valid
INVT000136,PO000136,P0165,WH002,2025-05-29,1016,329,16,1329,491,224,70453080.9,Normal,7.17,1329,Valid
INVT000137,PO000137,P0108,WH002,2026-07-18,222,458,24,656,217,213,24136188.32,Normal,3.54,656,Valid
INVT000138,PO000138,P0233,WH001,2026-02-05,66,114,12,168,59,136,5805179.52,Normal,0.73,168,Valid
INVT000139,PO000139,P0090,WH004,2025-08-26,170,55,64,161,76,160,13919783.08,Normal,1.1,161,Valid
INVT000140,PO000140,P0051,WH001,2025-07-09,1197,308,354,1151,387,133,5790600.43,Normal,4.97,1151,Valid
INVT000141,PO000141,P0080,WH003,2025-05-11,964,327,146,1145,332,36,46677757.0,Normal,4.3,1145,Valid
INVT000142,PO000142,P0276,WH004,2026-03-11,108,521,316,313,382,193,26835189.59,Reorder,2.14,313,Valid
INVT000143,PO000143,P0174,WH004,2025-08-08,397,60,19,438,391,52,38977659.42,Normal,3.0,438,Valid
INVT000144,PO000144,P0221,WH003,2026-04-20,30,118,156,0,187,23,0.0,Stockout,0.0,0,Valid
INVT000145,PO000145,P0288,WH001,2026-02-26,81,420,396,105,42,71,3897166.35,Normal,0.45,105,Valid
INVT000146,PO000146,P0148,WH003,2025-08-06,40,113,70,83,247,48,4467134.7,Reorder,0.31,83,Valid
INVT000147,PO000147,P0261,WH002,2025-08-14,165,954,144,975,132,180,6972195.75,Overstock,5.26,975,Valid
INVT000148,PO000148,P0247,WH001,2025-06-25,793,554,735,612,303,118,17493469.2,Normal,2.64,612,Valid
INVT000149,PO000149,P0033,WH001,2026-07-15,1303,229,297,1235,441,103,58069440.65,Normal,5.33,1235,Valid
INVT000150,PO000150,P0260,WH002,2025-03-06,1032,858,775,1115,341,72,31754486.4,Normal,6.01,1115,Valid
INVT000151,PO000151,P0149,WH004,2025-10-03,430,659,860,229,487,100,10606485.37,Reorder,1.57,229,Valid
INVT000152,PO000152,P0055,WH002,2026-01-10,1222,920,1155,987,437,63,32325246.87,Normal,5.32,987,Valid
INVT000153,PO000153,P0168,WH002,2025-01-09,189,719,543,365,156,80,28765518.6,Normal,1.97,365,Valid
INVT000154,PO000154,P0196,WH003,2025-08-04,703,565,846,422,236,215,29873603.66,Normal,1.58,422,Valid
INVT000155,PO000155,P0041,WH001,2026-03-03,733,661,332,1062,372,143,38995609.86,Normal,4.58,1062,Valid
INVT000156,PO000156,P0069,WH003,2025-08-27,788,468,202,1054,302,96,48295650.2,Normal,3.96,1054,Valid
INVT000157,PO000157,P0105,WH003,2026-01-02,42,270,205,107,175,213,1304658.49,Reorder,0.4,107,Valid
INVT000158,PO000158,P0197,WH001,2025-06-30,739,619,839,519,223,17,11460775.98,Normal,2.24,519,Valid
INVT000159,PO000159,P0168,WH003,2026-05-09,551,953,124,1380,156,80,110099891.4,Overstock,5.18,1380,Valid
INVT000160,PO000160,P0284,WH002,2025-03-26,513,728,1082,159,318,224,5459816.73,Reorder,0.86,159,Valid
INVT000161,PO000161,P0056,WH001,2025-01-03,918,375,466,827,455,211,34495733.03,Normal,3.5700000000000003,827,Valid
INVT000162,PO000162,P0045,WH004,2025-08-25,1214,163,191,1186,388,79,58061910.88,Normal,8.12,1186,Valid
INVT000163,PO000163,P0221,WH004,2026-05-29,383,399,72,710,187,23,34811165.1,Normal,4.86,710,Valid
INVT000164,PO000164,P0010,WH001,2025-02-25,577,947,889,635,380,29,5508567.85,Normal,2.74,635,Valid
INVT000165,PO000165,P0284,WH004,2025-09-06,1263,196,3,1456,318,224,47495171.36,Normal,9.97,1456,Valid
INVT000166,PO000166,P0198,WH002,2025-05-05,3,289,95,197,38,223,14934676.38,Overstock,1.06,197,Valid
INVT000167,PO000167,P0008,WH001,2025-09-26,182,835,704,313,81,100,19603997.54,Normal,1.35,313,Valid
INVT000168,PO000168,P0164,WH002,2025-11-16,1396,896,472,1820,419,83,148889650.0,Normal,9.81,1820,Valid
INVT000169,PO000169,P0074,WH003,2026-06-13,198,977,779,396,87,78,19960007.76,Normal,1.49,396,Valid
INVT000170,PO000170,P0073,WH003,2025-02-28,675,11,1,685,216,72,20007521.1,Normal,2.5700000000000003,685,Valid
INVT000171,PO000171,P0106,WH003,2025-11-16,527,946,95,1378,213,184,23906467.26,Overstock,5.17,1378,Valid
INVT000172,PO000172,P0190,WH002,2026-06-28,217,274,254,237,238,85,15128565.57,Reorder,1.28,237,Valid
INVT000173,PO000173,P0150,WH003,2026-07-27,202,962,448,716,80,75,49664316.12,Overstock,2.69,716,Valid
INVT000174,PO000174,P0017,WH004,2025-04-28,95,538,49,584,419,65,43645526.16,Normal,4.0,584,Valid
INVT000175,PO000175,P0261,WH001,2025-07-30,94,786,791,89,132,180,592602.94,Reorder,0.38,89,Valid
INVT000176,PO000176,P0223,WH001,2025-09-30,1272,196,178,1290,362,20,2724363.9,Normal,5.57,1290,Valid
INVT000177,PO000177,P0168,WH003,2025-06-05,313,538,736,115,156,80,10030387.4,Reorder,0.43,115,Valid
INVT000178,PO000178,P0165,WH001,2026-01-16,568,966,904,630,491,224,34730816.4,Normal,2.7199999999999998,630,Valid
INVT000179,PO000179,P0134,WH001,2026-03-14,136,583,81,638,245,14,10316319.64,Normal,2.75,638,Valid
INVT000180,PO000180,P0058,WH003,2026-06-13,1041,397,48,1390,459,191,11501012.9,Normal,5.22,1390,Valid
INVT000181,PO000181,P0187,WH002,2026-02-27,42,851,212,681,114,24,24666616.77,Overstock,3.67,681,Valid
INVT000182,PO000182,P0184,WH003,2025-12-29,130,656,755,31,157,106,2469112.49,Reorder,0.12,31,Valid
INVT000183,PO000183,P0270,WH004,2026-04-22,88,28,9,107,429,112,8107952.82,Reorder,0.73,107,Valid
INVT000184,PO000184,P0066,WH001,2026-07-07,1238,933,1201,970,379,91,44389188.5,Normal,4.19,970,Valid
INVT000185,PO000185,P0153,WH004,2025-11-23,395,367,322,440,441,216,13781086.0,Reorder,3.01,440,Valid
INVT000186,PO000186,P0246,WH003,2026-05-25,733,345,297,781,213,207,60739525.88,Normal,2.93,781,Valid
INVT000187,PO000187,P0131,WH004,2025-10-07,1381,787,114,2054,393,68,49910597.88,Overstock,14.06,2054,Valid
INVT000188,PO000188,P0049,WH002,2025-08-22,741,314,311,744,495,201,20308633.2,Normal,4.01,744,Valid
INVT000189,PO000189,P0005,WH002,2025-12-31,305,946,1134,117,145,104,4311859.5,Reorder,0.63,117,Valid
INVT000190,PO000190,P0131,WH003,2026-05-27,822,578,333,1067,393,68,28643326.91,Normal,4.0,1067,Valid
INVT000191,PO000191,P0081,WH001,2026-02-26,148,156,211,93,211,168,2742033.39,Reorder,0.4,93,Valid
INVT000192,PO000192,P0051,WH003,2025-09-06,240,930,691,479,387,133,2369795.02,Normal,1.8,479,Valid
INVT000193,PO000193,P0216,WH003,2026-01-12,324,378,196,506,430,35,27064265.14,Normal,1.9,506,Valid
INVT000194,PO000194,P0041,WH001,2026-04-27,1407,765,123,2049,372,143,74157346.53,Overstock,8.84,2049,Valid
INVT000195,PO000195,P0084,WH001,2026-02-22,373,573,42,904,239,88,36958891.92,Normal,3.9,904,Valid
INVT000196,PO000196,P0001,WH003,2025-03-07,109,388,106,391,364,114,17386597.0,Normal,1.47,391,Valid
INVT000197,PO000197,P0159,WH001,2026-03-30,1121,764,456,1429,290,206,42604720.44,Normal,6.17,1429,Valid
INVT000198,PO000198,P0157,WH004,2026-04-05,349,794,857,286,432,85,6177648.62,Reorder,1.96,286,Valid
INVT000199,PO000199,P0117,WH002,2025-02-20,947,912,253,1606,490,224,80393677.98,Normal,8.66,1606,Valid
INVT000200,PO000200,P0276,WH004,2025-05-16,43,584,171,456,382,193,34460841.12,Normal,3.12,456,Valid
INVT000201,PO000201,P0148,WH002,2025-06-14,550,346,369,527,247,48,25013770.42,Normal,2.84,527,Valid
INVT000202,PO000202,P0077,WH001,2026-02-23,498,403,604,297,173,144,9326720.7,Normal,1.28,297,Valid
INVT000203,PO000203,P0254,WH002,2026-01-21,45,620,712,0,193,239,0.0,Stockout,0.0,0,Valid
INVT000204,PO000204,P0005,WH001,2026-05-19,338,664,716,286,145,104,10558485.08,Normal,1.23,286,Valid
INVT000205,PO000205,P0173,WH002,2026-06-30,1002,287,200,1089,340,55,35586799.38,Normal,5.87,1089,Valid
INVT000206,PO000206,P0045,WH001,2026-07-30,510,94,71,533,388,79,24769085.64,Normal,2.3,533,Valid
INVT000207,PO000207,P0186,WH003,2026-08-01,192,962,1085,69,147,34,4620825.12,Reorder,0.26,69,Valid
INVT000208,PO000208,P0300,WH001,2026-08-04,802,462,438,826,213,163,2286029.34,Normal,3.56,826,Valid
INVT000209,PO000209,P0296,WH001,2025-09-02,608,278,273,613,422,228,22528412.04,Normal,2.65,613,Valid
INVT000210,PO000210,P0178,WH001,2025-10-20,81,336,310,107,46,71,2416979.13,Normal,0.46,107,Valid
INVT000211,PO000211,P0090,WH003,2026-07-03,107,587,480,214,76,160,18103533.3,Normal,0.8,214,Valid
INVT000212,PO000212,P0268,WH003,2025-09-09,564,369,317,616,208,247,12330545.92,Normal,2.31,616,Valid
INVT000213,PO000213,P0254,WH001,2025-03-20,722,709,671,760,193,239,55696014.8,Normal,3.2800000000000002,760,Valid
INVT000214,PO000214,P0267,WH001,2025-09-01,1046,138,164,1020,309,30,11808397.2,Normal,4.4,1020,Valid
INVT000215,PO000215,P0111,WH004,2026-01-07,76,216,268,24,40,62,314440.8,Reorder,0.16,24,Valid
INVT000216,PO000216,P0071,WH003,2025-05-15,1001,602,734,869,368,103,29631883.27,Normal,3.26,869,Valid
INVT000217,PO000217,P0103,WH002,2026-03-14,529,850,609,770,161,185,19244278.9,Normal,4.15,770,Valid
INVT000218,PO000218,P0075,WH003,2026-04-10,306,444,87,663,105,160,15640508.13,Overstock,2.49,663,Valid
INVT000219,PO000219,P0112,WH003,2026-07-25,528,34,14,548,439,184,11179693.2,Normal,2.06,548,Valid
INVT000220,PO000220,P0098,WH002,2025-09-26,449,86,112,423,256,35,9094690.35,Normal,2.2800000000000002,423,Valid
INVT000221,PO000221,P0299,WH003,2025-10-14,932,86,72,946,471,18,6753285.88,Normal,3.55,946,Valid
INVT000222,PO000222,P0229,WH004,2025-10-23,226,306,116,416,220,105,2727974.08,Normal,2.85,416,Valid
INVT000223,PO000223,P0121,WH003,2025-08-27,162,190,137,215,119,200,3460450.8,Normal,0.81,215,Valid
INVT000224,PO000224,P0093,WH002,2026-04-08,697,390,304,783,224,216,33886298.16,Normal,4.22,783,Valid
INVT000225,PO000225,P0272,WH003,2025-11-29,134,132,125,141,133,17,10589152.17,Normal,0.53,141,Valid
INVT000226,PO000226,P0016,WH001,2026-01-01,40,305,393,0,38,195,0.0,Stockout,0.0,0,Valid
INVT000227,PO000227,P0056,WH003,2026-04-29,1643,706,40,2309,455,211,94274484.26,Overstock,8.66,2309,Valid
INVT000228,PO000228,P0048,WH004,2025-07-08,1381,598,598,1381,370,99,117940203.4,Normal,9.45,1381,Valid
INVT000229,PO000229,P0005,WH002,2025-12-31,270,14,21,263,145,104,9089879.64,Normal,1.42,263,Valid
INVT000230,PO000230,P0018,WH004,2026-06-01,595,497,598,494,357,159,14399897.46,Normal,3.38,494,Valid
INVT000231,PO000231,P0173,WH002,2026-07-29,3,570,637,0,340,55,0.0,Stockout,0.0,0,Valid
