PO_ID,PO_Date,Supplier_ID,Product_ID,Warehouse_ID,Contract_ID,Supply_Type,Quantity,Unit_Cost_INR,Subtotal_INR,Freight_INR,Import_Duty_Percent,Import_Duty_INR,Tax_INR,Total_PO_Value_INR,Currency,Exchange_Rate_to_INR,Shipping_Mode,Expected_Delivery_Date,Actual_Receipt_Date,Delay_Days,Approval_Status,PO_Status,Calculated_Subtotal
PO000011,26-10-2025,S0003,P0032,WH002,CT00311,Domestic,755,16885.31,12748409.05,69167.66,0,0,2307163.81,15124740.52,INR,1,Road,07-11-2025,07-11-2025,0,Approved,Cancelled,12748409.05
PO000012,17-07-2025,S0053,P0107,WH002,CT00577,Domestic,734,35075.15,25745160.1,177547.25,0,0,4666087.32,30588794.67,INR,1,Rail,28-07-2025,30-07-2025,2,Approved,Cancelled,25745160.1
PO000013,15-11-2025,S0019,P0236,WH003,CT00551,Domestic,743,69668.37,51763598.91,750691.99,0,0,9452572.36,61966863.26,INR,1,Rail,18-12-2025,23-12-2025,5,Pending,Partially Delivered,51763598.91
PO000014,27-01-2025,S0003,P0144,WH002,CT00199,Domestic,666,45121.04,30050612.64,399504.34,0,0,5481021.06,35931138.04,INR,1,Rail,13-02-2025,21-02-2025,8,Approved,Partially Delivered,30050612.64
PO000015,19-02-2026,S0113,P0064,WH001,No Contract,Domestic,741,73168.68,54217991.88,975330.39,0,0,9934798.01,65128120.28,INR,1,Rail,03-03-2026,03-03-2026,0,Pending,Delivered,54217991.88
PO000016,16-06-2025,S0111,P0198,WH002,CT00019,Domestic,418,64260.7,26860972.6,502363.59,0,0,4925400.51,32288736.7,INR,1,Rail,03-07-2025,04-07-2025,1,Approved,Delivered,26860972.6
PO000017,22-03-2025,S0045,P0010,WH001,CT00282,Domestic,907,8399.37,7618228.59,90772.73,0,0,1387620.24,9096621.56,INR,1,Air,02-04-2025,05-04-2025,3,Approved,Partially Delivered,7618228.59
PO000018,14-10-2025,S0062,P0007,WH004,No Contract,Domestic,347,61738.45,21423242.15,387371.62,0,0,3925910.48,25736524.25,INR,1,Rail,26-10-2025,27-10-2025,1,Pending,Delivered,21423242.15
PO000019,03-04-2025,S0091,P0090,WH004,CT00213,Domestic,920,83943.52,77228038.4,755183.25,0,0,14036979.9,92020201.55,INR,1,Air,20-04-2025,23-04-2025,3,Approved,Cancelled,77228038.4
PO000020,01-07-2025,S0103,P0106,WH001,CT00064,Domestic,833,16997.44,14158867.52,221984.66,0,0,2588553.39,16969405.57,INR,1,Rail,26-07-2025,26-07-2025,0,Approved,Delivered,14158867.52
PO000021,09-04-2026,S0119,P0016,WH004,CT00530,Domestic,412,88780.63,36577619.56,561335.08,0,0,6685011.84,43823966.48,INR,1,Air,15-04-2026,15-04-2026,0,Approved,Partially Delivered,36577619.56
PO000022,06-11-2025,S0027,P0064,WH002,CT00550,Domestic,104,83899.55,8725553.2,137173.52,0,0,1595290.81,10458017.53,INR,1,Air,16-11-2025,16-11-2025,0,Approved,Delivered,8725553.2
PO000023,28-02-2025,S0020,P0221,WH002,CT00088,Domestic,348,49262.55,17143367.4,276071.58,0,0,3135499.02,20554938,INR,1,Rail,01-04-2025,03-04-2025,2,Approved,Delivered,17143367.4
PO000024,26-04-2026,S0054,P0239,WH002,CT00421,Domestic,277,48725.24,13496891.48,112680.09,0,0,2449722.88,16059294.45,INR,1,Air,17-05-2026,20-05-2026,3,Pending,Delivered,13496891.48
PO000025,18-03-2026,S0122,P0135,WH004,CT00221,Domestic,982,61486.08,60379330.56,696313.85,0,0,10993615.99,72069260.4,INR,1,Rail,24-03-2026,29-03-2026,5,Approved,Partially Delivered,60379330.56
PO000026,16-03-2025,S0076,P0067,WH003,CT00326,Domestic,73,50216.3,3665789.9,24647.2,0,0,664278.68,4354715.78,INR,1,Road,12-04-2025,12-04-2025,0,Approved,Partially Delivered,3665789.9
PO000027,04-12-2025,S0082,P0208,WH003,CT00428,Domestic,132,30811.37,4067100.84,50357.39,0,0,741142.48,4858600.71,INR,1,Air,19-12-2025,20-12-2025,1,Approved,Cancelled,4067100.84
PO000028,01-07-2026,S0036,P0114,WH001,CT00390,Domestic,631,65380.53,41255114.43,244532.82,0,0,7469936.5,48969583.75,INR,1,Air,23-07-2026,26-07-2026,3,Pending,Partially Delivered,41255114.43
PO000029,19-05-2025,S0039,P0293,WH002,CT00098,Domestic,929,43481.41,40394229.89,528443.94,0,0,7366081.29,48288755.12,INR,1,Road,15-06-2025,15-06-2025,0,Approved,Delivered,40394229.89
PO000030,04-08-2025,S0109,P0298,WH002,CT00555,Domestic,346,14925.24,5164133.04,59986.85,0,0,940341.58,6164461.47,INR,1,Rail,26-08-2025,28-08-2025,2,Approved,Delivered,5164133.04
PO000031,01-02-2025,S0028,P0189,WH004,CT00422,Domestic,538,53019.63,28524560.94,171162.95,0,0,5165230.3,33860954.19,INR,1,Rail,15-02-2025,15-02-2025,0,Pending,Delivered,28524560.94
PO000032,16-06-2026,S0040,P0125,WH003,CT00239,Domestic,607,12506.22,7591275.54,42880.58,0,0,1374148.1,9008304.22,INR,1,Road,02-07-2026,02-07-2026,0,Pending,Cancelled,7591275.54
PO000033,20-05-2025,S0090,P0076,WH002,CT00155,Domestic,282,73686.14,20779491.48,111184.58,0,0,3760321.69,24650997.75,INR,1,Air,08-06-2025,13-06-2025,5,Pending,Delivered,20779491.48
PO000034,28-12-2025,S0002,P0298,WH004,CT00547,Domestic,467,14575.22,6806627.74,53745.61,0,0,1234867.2,8095240.55,INR,1,Road,12-01-2026,12-01-2026,0,Approved,Partially Delivered,6806627.74
PO000035,25-10-2025,S0035,P0069,WH002,CT00494,Domestic,350,39975.1,13991285,131433.81,0,0,2542089.39,16664808.2,INR,1,Air,06-11-2025,06-11-2025,0,Approved,Delivered,13991285
PO000036,18-11-2025,S0004,P0126,WH004,CT00152,Domestic,708,59868.47,42386876.76,441612.61,0,0,7709128.09,50537617.46,INR,1,Rail,03-12-2025,15-12-2025,12,Approved,Cancelled,42386876.76
PO000037,17-06-2025,S0036,P0205,WH001,CT00241,Domestic,158,24645.09,3893924.22,19476.89,0,0,704412.2,4617813.31,INR,1,Air,06-07-2025,08-07-2025,2,Pending,Delivered,3893924.22
PO000038,17-06-2025,S0119,P0053,WH002,CT00009,Domestic,825,36204.71,29868885.75,563012.4,0,0,5477741.67,35909639.82,INR,1,Rail,25-06-2025,28-06-2025,3,Approved,Delivered,29868885.75
PO000039,29-05-2025,S0072,P0294,WH002,CT00187,Domestic,561,47776.83,26802801.63,411374.91,0,0,4898551.78,32112728.32,INR,1,Rail,25-06-2025,27-06-2025,2,Pending,Cancelled,26802801.63
PO000040,25-03-2025,S0109,P0288,WH003,CT00400,Domestic,847,35307.95,29905833.65,356088.69,0,0,5447146.02,35709068.36,INR,1,Air,22-04-2025,23-04-2025,1,Pending,Delivered,29905833.65
PO000041,06-06-2026,S0063,P0214,WH001,CT00149,Domestic,819,26245.74,21495261.06,381327.43,0,0,3937785.93,25814374.42,INR,1,Road,20-06-2026,22-06-2026,2,Pending,Cancelled,21495261.06
PO000042,24-12-2025,S0073,P0270,WH004,CT00070,Domestic,216,71959.1,15543165.6,252084.19,0,0,2843144.96,18638394.75,INR,1,Road,29-12-2025,29-12-2025,0,Approved,Delivered,15543165.6
PO000043,07-12-2025,S0026,P0045,WH004,CT00140,Domestic,462,47546.48,21966473.76,284169.35,0,0,4005115.76,26255758.87,INR,1,Rail,24-12-2025,24-12-2025,0,Approved,Delivered,21966473.76
PO000044,04-08-2025,S0110,P0082,WH001,CT00142,Domestic,441,57816.84,25497226.44,161592.44,0,0,4618587.4,30277406.28,INR,1,Road,19-08-2025,19-08-2025,0,Approved,Delivered,25497226.44
PO000045,22-11-2025,S0001,P0080,WH002,CT00328,Domestic,738,41106.28,30336434.64,173110.08,0,0,5491718.05,36001262.77,INR,1,Rail,01-12-2025,04-12-2025,3,Approved,Partially Delivered,30336434.64
PO000046,11-06-2025,S0093,P0265,WH003,CT00394,Domestic,912,27717.88,25278706.56,461944.68,0,0,4633317.22,30373968.46,INR,1,Road,21-06-2025,22-06-2025,1,Pending,Partially Delivered,25278706.56
PO000047,21-04-2025,S0002,P0150,WH003,CT00504,Domestic,837,62946.04,52685835.48,286780.43,0,0,9535070.86,62507686.77,INR,1,Rail,08-05-2025,20-05-2025,12,Pending,Partially Delivered,52685835.48
PO000048,26-10-2025,S0118,P0112,WH004,CT00404,Domestic,408,23307.86,9509606.88,73783.24,0,0,1725010.22,11308400.34,INR,1,Air,29-11-2025,29-11-2025,0,Approved,Cancelled,9509606.88
PO000049,17-01-2025,S0116,P0237,WH001,CT00482,Domestic,983,26101.43,25657705.69,466836.81,0,0,4702417.65,30826960.15,INR,1,Air,09-02-2025,09-02-2025,0,Approved,Partially Delivered,25657705.69
PO000050,24-07-2025,S0010,P0138,WH004,No Contract,Domestic,274,59943.14,16424420.36,200054.28,0,0,2992405.44,19616880.08,INR,1,Air,22-08-2025,22-08-2025,0,Pending,Cancelled,16424420.36
PO000051,04-01-2026,S0112,P0222,WH002,CT00014,Domestic,126,76171.6,9597621.6,112325.67,0,0,1747790.51,11457737.78,INR,1,Road,05-02-2026,08-02-2026,3,Pending,Delivered,9597621.6
PO000052,02-06-2025,S0107,P0278,WH003,CT00189,Domestic,412,18928.93,7798719.16,63067.69,0,0,1415121.63,9276908.48,INR,1,Rail,30-06-2025,02-07-2025,2,Approved,Delivered,7798719.16
PO000053,27-05-2025,S0039,P0168,WH003,CT00098,Domestic,743,85023.83,63172705.69,626651.42,0,0,11483884.28,75283241.39,INR,1,Road,17-06-2025,17-06-2025,0,Approved,Partially Delivered,63172705.69
PO000054,06-01-2025,S0040,P0058,WH004,CT00239,Domestic,114,7996.62,911614.68,15968.56,0,0,166964.98,1094548.22,INR,1,Rail,21-01-2025,21-01-2025,0,Approved,Partially Delivered,911614.68
PO000055,02-03-2026,S0098,P0106,WH001,CT00279,Domestic,359,18594.41,6675393.19,36164.76,0,0,1208080.43,7919638.38,INR,1,Road,18-03-2026,19-03-2026,1,Approved,Cancelled,6675393.19
PO000056,03-03-2025,S0004,P0167,WH002,CT00152,Domestic,172,17636.68,3033508.96,38362.56,0,0,552936.87,3624808.39,INR,1,Air,17-03-2025,25-03-2025,8,Approved,Partially Delivered,3033508.96
PO000057,26-03-2025,S0103,P0133,WH003,CT00064,Domestic,849,65099.31,55269314.19,910695.87,0,0,10112401.81,66292411.87,INR,1,Air,22-04-2025,23-04-2025,1,Pending,Delivered,55269314.19
PO000058,29-01-2025,S0080,P0160,WH001,CT00125,Domestic,866,41216.64,35693610.24,597786.37,0,0,6532451.39,42823848,INR,1,Road,21-02-2025,21-02-2025,0,Approved,Partially Delivered,35693610.24
PO000059,25-01-2025,S0035,P0100,WH001,CT00477,Domestic,988,800.48,790874.24,13890.84,0,0,144857.71,949622.79,INR,1,Air,01-02-2025,03-02-2025,2,Approved,Partially Delivered,790874.24
PO000060,23-12-2025,S0029,P0281,WH003,CT00410,Domestic,685,55238.4,37838304,343386.53,0,0,6872704.3,45054394.83,INR,1,Rail,21-01-2026,21-01-2026,0,Pending,Delivered,37838304
PO000061,20-05-2026,S0118,P0250,WH001,CT00486,Domestic,308,58178.1,17918854.8,163310.06,0,0,3254789.67,21336954.53,INR,1,Rail,22-06-2026,22-06-2026,0,Approved,Delivered,17918854.8
PO000062,12-05-2025,S0056,P0256,WH002,CT00590,Domestic,754,45187.15,34071111.1,221676.3,0,0,6172701.73,40465489.13,INR,1,Road,15-06-2025,18-06-2025,3,Approved,Partially Delivered,34071111.1
PO000063,03-07-2026,S0113,P0296,WH002,No Contract,Domestic,700,42425.55,29697885,577321.05,0,0,5449537.09,35724743.14,INR,1,Air,06-07-2026,07-07-2026,1,Pending,Delivered,29697885
PO000064,17-09-2025,S0079,P0151,WH002,CT00201,Domestic,850,7276.59,6185101.5,81983.45,0,0,1128075.29,7395160.24,INR,1,Rail,17-10-2025,22-10-2025,5,Approved,Delivered,6185101.5
PO000065,06-01-2025,S0124,P0074,WH003,CT00371,Domestic,399,54734.24,21838961.76,375039.5,0,0,3998520.23,26212521.49,INR,1,Rail,03-02-2025,03-02-2025,0,Approved,Delivered,21838961.76
PO000066,13-12-2025,S0058,P0233,WH004,CT00329,Domestic,559,38222.17,21366193.03,388446.96,0,0,3915835.2,25670475.19,INR,1,Rail,14-01-2026,15-01-2026,1,Pending,Delivered,21366193.03
PO000067,07-06-2025,S0117,P0129,WH003,No Contract,Domestic,380,20063.23,7624027.4,122879.7,0,0,1394443.28,9141350.38,INR,1,Road,07-07-2025,09-07-2025,2,Approved,Delivered,7624027.4
PO000068,25-03-2026,S0003,P0044,WH002,CT00311,Domestic,571,56716.96,32385384.16,473760.95,0,0,5914646.12,38773791.23,INR,1,Road,05-04-2026,08-04-2026,3,Pending,Cancelled,32385384.16
PO000069,06-10-2025,S0077,P0241,WH003,CT00198,Domestic,959,25100.79,24071657.61,300071.99,0,0,4386911.33,28758640.93,INR,1,Road,27-10-2025,27-10-2025,0,Pending,Partially Delivered,24071657.61
PO000070,02-06-2026,S0024,P0231,WH004,CT00228,Domestic,686,41183.32,28251757.52,456532.39,0,0,5167492.18,33875782.09,INR,1,Rail,01-07-2026,01-07-2026,0,Approved,Delivered,28251757.52
PO000071,19-10-2025,S0088,P0070,WH002,CT00480,Domestic,554,68975.68,38212526.72,632790.75,0,0,6992157.14,45837474.61,INR,1,Air,21-11-2025,23-11-2025,2,Approved,Cancelled,38212526.72
PO000072,17-06-2026,S0070,P0078,WH002,CT00234,Domestic,238,50671.62,12059845.56,97306.24,0,0,2188287.32,14345439.12,INR,1,Road,16-07-2026,16-07-2026,0,Approved,Delivered,12059845.56
PO000073,03-01-2025,S0062,P0254,WH003,No Contract,Domestic,463,72753.75,33684986.25,337676.75,0,0,6124079.34,40146742.34,INR,1,Road,08-01-2025,09-01-2025,1,Approved,Cancelled,33684986.25
PO000074,14-02-2025,S0067,P0211,WH001,CT00575,Domestic,916,48295.45,44238632.2,553840.67,0,0,8062645.12,52855117.99,INR,1,Rail,27-02-2025,27-02-2025,0,Pending,Delivered,44238632.2
PO000075,02-04-2025,S0111,P0067,WH002,CT00019,Domestic,757,51354.08,38875038.56,586468.03,0,0,7103071.19,46564577.78,INR,1,Road,22-04-2025,23-04-2025,1,Pending,Delivered,38875038.56
PO000076,19-02-2026,S0054,P0073,WH004,CT00143,Domestic,345,28771.34,9926112.3,191257.38,0,0,1821126.54,11938496.22,INR,1,Road,09-03-2026,09-03-2026,0,Approved,Delivered,9926112.3
PO000077,10-04-2025,S0010,P0160,WH004,No Contract,Domestic,716,42133.44,30167543.04,520955.78,0,0,5523929.79,36212428.61,INR,1,Road,04-05-2025,05-05-2025,1,Approved,Partially Delivered,30167543.04
PO000078,06-04-2025,S0108,P0009,WH004,CT00108,Domestic,614,43306.44,26590154.16,379256.18,0,0,4854493.86,31823904.2,INR,1,Air,10-05-2025,10-05-2025,0,Approved,Partially Delivered,26590154.16
PO000079,10-06-2026,S0041,P0030,WH004,CT00146,Domestic,619,79217.03,49035341.57,922635.88,0,0,8992435.94,58950413.39,INR,1,Road,26-06-2026,28-06-2026,2,Approved,Partially Delivered,49035341.57
PO000080,07-03-2025,S0040,P0104,WH004,CT00239,Domestic,561,26572.62,14907239.82,211476.01,0,0,2721368.85,17840084.68,INR,1,Road,17-03-2025,17-03-2025,0,Approved,Cancelled,14907239.82
PO000081,12-05-2026,S0030,P0222,WH001,CT00521,Domestic,885,78858.63,69789887.55,786751.77,0,0,12703795.08,83280434.4,INR,1,Rail,28-05-2026,28-05-2026,0,Approved,Delivered,69789887.55
PO000082,01-02-2025,S0079,P0181,WH002,CT00165,Domestic,116,3312.37,384234.92,5518.34,0,0,70155.59,459908.85,INR,1,Road,02-03-2025,03-03-2025,1,Approved,Delivered,384234.92
PO000083,15-05-2025,S0032,P0047,WH003,CT00185,Domestic,25,84742.79,2118569.75,27031.38,0,0,386208.2,2531809.33,INR,1,Road,25-05-2025,25-05-2025,0,Approved,Delivered,2118569.75
PO000084,28-11-2025,S0051,P0225,WH003,CT00339,Domestic,118,78970.48,9318516.64,103584.16,0,0,1695978.14,11118078.94,INR,1,Rail,09-12-2025,12-12-2025,3,Approved,Partially Delivered,9318516.64
PO000085,21-07-2026,S0043,P0065,WH002,No Contract,Domestic,157,43532.64,6834624.48,61038.25,0,0,1241219.29,8136882.02,INR,1,Road,01-08-2026,01-08-2026,0,Pending,Partially Delivered,6834624.48
PO000086,03-03-2025,S0052,P0219,WH004,CT00138,Domestic,450,91129.57,41008306.5,419826.19,0,0,7457063.88,48885196.57,INR,1,Road,24-03-2025,24-03-2025,0,Approved,Partially Delivered,41008306.5
PO000087,06-10-2025,S0007,P0229,WH004,CT00233,Domestic,825,6576.88,5425926,54120.56,0,0,986408.38,6466454.94,INR,1,Rail,27-10-2025,27-10-2025,0,Approved,Cancelled,5425926
PO000088,22-01-2025,S0107,P0107,WH003,CT00020,Domestic,930,33955.23,31578363.9,565412.76,0,0,5785879.8,37929656.46,INR,1,Air,16-02-2025,17-02-2025,1,Approved,Cancelled,31578363.9
PO000089,15-04-2026,S0032,P0222,WH001,CT00185,Domestic,265,85450.46,22644371.9,189683.5,0,0,4110129.97,26944185.37,INR,1,Rail,21-04-2026,23-04-2026,2,Approved,Partially Delivered,22644371.9
PO000090,12-05-2025,S0122,P0146,WH001,CT00308,Domestic,424,60482.98,25644783.52,330779.15,0,0,4675601.28,30651163.95,INR,1,Road,22-05-2025,22-05-2025,0,Approved,Delivered,25644783.52
PO000091,28-05-2026,S0099,P0012,WH004,CT00324,Domestic,783,76359.47,59789465.01,643906.2,0,0,10878006.82,71311378.03,INR,1,Rail,09-06-2026,11-06-2026,2,Pending,Delivered,59789465.01
PO000092,20-04-2025,S0070,P0249,WH004,CT00234,Domestic,136,10820.11,1471534.96,8522.77,0,0,266410.39,1746468.12,INR,1,Air,21-05-2025,21-05-2025,0,Approved,Cancelled,1471534.96
PO000093,09-01-2026,S0035,P0292,WH004,CT00494,Domestic,214,66587.07,14249632.98,137128.37,0,0,2589617.04,16976378.39,INR,1,Air,21-01-2026,22-01-2026,1,Approved,Cancelled,14249632.98
PO000094,02-09-2025,S0109,P0176,WH004,CT00555,Domestic,616,31942.01,19676278.16,272651.86,0,0,3590807.4,23539737.42,INR,1,Rail,30-09-2025,05-10-2025,5,Approved,Cancelled,19676278.16
PO000095,03-12-2025,S0078,P0094,WH003,CT00384,Domestic,739,27307.15,20179983.85,340785.32,0,0,3693738.45,24214507.62,INR,1,Air,26-12-2025,07-01-2026,12,Approved,Delivered,20179983.85
PO000096,15-03-2025,S0031,P0152,WH003,CT00052,Domestic,983,31789.61,31249186.63,252832.16,0,0,5670363.38,37172382.17,INR,1,Road,12-04-2025,24-04-2025,12,Approved,Cancelled,31249186.63
PO000097,30-04-2025,S0077,P0151,WH003,CT00229,Domestic,183,6479.72,1185788.76,10771.43,0,0,215380.83,1411941.02,INR,1,Road,31-05-2025,12-06-2025,12,Approved,Partially Delivered,1185788.76
PO000098,31-10-2025,S0031,P0052,WH001,CT00052,Domestic,432,17808.44,7693246.08,81811.91,0,0,1399510.44,9174568.43,INR,1,Air,19-11-2025,22-11-2025,3,Pending,Delivered,7693246.08
PO000099,26-02-2026,S0003,P0090,WH004,CT00199,Domestic,19,89859.76,1707335.44,31594.73,0,0,313007.43,2051937.6,INR,1,Road,12-03-2026,13-03-2026,1,Approved,Delivered,1707335.44
PO000100,08-02-2026,S0108,P0116,WH001,CT00108,Domestic,869,67565.36,58714297.84,773636.53,0,0,10707828.19,70195762.56,INR,1,Rail,17-03-2026,18-03-2026,1,Approved,Partially Delivered,58714297.84
PO000101,20-05-2026,S0042,P0265,WH003,CT00126,Domestic,450,31610.82,14224869,104583.25,0,0,2579301.4,16908753.65,INR,1,Air,16-06-2026,17-06-2026,1,Pending,Partially Delivered,14224869
PO000102,01-03-2026,S0007,P0075,WH003,CT00233,Domestic,200,22437.64,4487528,30662.79,0,0,813274.34,5331465.13,INR,1,Air,01-04-2026,02-04-2026,1,Approved,Delivered,4487528
PO000103,17-08-2025,S0003,P0293,WH002,CT00199,Domestic,574,43101.08,24740019.92,360088.98,0,0,4518019.6,29618128.5,INR,1,Rail,04-09-2025,09-09-2025,5,Approved,Partially Delivered,24740019.92
PO000104,26-05-2025,S0028,P0197,WH001,CT00422,Domestic,22,24700.34,543407.48,7601.58,0,0,99181.63,650190.69,INR,1,Road,04-06-2025,04-06-2025,0,Approved,Delivered,543407.48
PO000105,15-01-2026,S0019,P0273,WH002,CT00551,Domestic,334,72592.43,24245871.62,213193.92,0,0,4402631.8,28861697.34,INR,1,Road,16-02-2026,17-02-2026,1,Approved,Delivered,24245871.62
PO000106,04-02-2025,S0068,P0227,WH001,CT00276,Domestic,685,24501.76,16783705.6,318971.39,0,0,3078481.86,20181158.85,INR,1,Rail,20-02-2025,21-02-2025,1,Approved,Delivered,16783705.6
PO000107,19-07-2026,S0051,P0288,WH001,CT00339,Domestic,628,32785.43,20589250.04,108130.53,0,0,3725528.5,24422909.07,INR,1,Air,02-08-2026,05-08-2026,3,Pending,Cancelled,20589250.04
PO000108,22-04-2025,S0040,P0217,WH002,CT00239,Domestic,981,73615.99,72217286.19,363734.43,0,0,13064583.71,85645604.33,INR,1,Road,07-05-2025,12-05-2025,5,Approved,Delivered,72217286.19
PO000109,07-05-2025,S0054,P0259,WH001,CT00421,Domestic,163,78674.81,12823994.03,93825.06,0,0,2325207.44,15243026.53,INR,1,Rail,25-05-2025,28-05-2025,3,Approved,Delivered,12823994.03
PO000110,26-03-2025,S0060,P0109,WH003,CT00470,Domestic,644,63600.84,40958940.96,774392.21,0,0,7511999.97,49245333.14,INR,1,Rail,21-04-2025,21-04-2025,0,Approved,Delivered,40958940.96
PO000111,27-02-2026,S0080,P0263,WH003,CT00125,Domestic,300,80863.11,24258933,300252.21,0,0,4420653.34,28979838.55,INR,1,Rail,20-03-2026,23-03-2026,3,Approved,Delivered,24258933
PO000112,23-05-2026,S0120,P0081,WH002,CT00574,Domestic,838,27273.74,22855394.12,292998.45,0,0,4166710.66,27315103.23,INR,1,Rail,21-06-2026,21-06-2026,0,Approved,Cancelled,22855394.12
PO000113,18-04-2026,S0098,P0209,WH001,CT00279,Domestic,388,79652.3,30905092.4,269609.6,0,0,5611446.36,36786148.36,INR,1,Rail,02-05-2026,04-05-2026,2,Approved,Delivered,30905092.4
PO000114,23-11-2025,S0076,P0225,WH001,CT00326,Domestic,683,77166.31,52704589.73,850232.62,0,0,9639868.02,63194690.37,INR,1,Rail,23-12-2025,23-12-2025,0,Approved,Delivered,52704589.73
PO000115,05-11-2025,S0013,P0240,WH001,CT00448,Domestic,181,81154.87,14689031.47,181307.15,0,0,2676660.95,17546999.57,INR,1,Rail,01-12-2025,04-12-2025,3,Approved,Delivered,14689031.47
PO000116,03-05-2026,S0059,P0057,WH003,CT00600,Domestic,126,45046.09,5675807.34,65601.64,0,0,1033453.62,6774862.6,INR,1,Road,08-06-2026,09-06-2026,1,Approved,Delivered,5675807.34
PO000117,27-01-2026,S0047,P0275,WH002,CT00111,Domestic,201,39946.64,8029274.64,103412.14,0,0,1463883.62,9596570.4,INR,1,Rail,24-02-2026,24-02-2026,0,Approved,Cancelled,8029274.64
PO000118,25-07-2025,S0002,P0261,WH002,CT00504,Domestic,924,7370.19,6810055.56,92861.18,0,0,1242525.01,8145441.75,INR,1,Road,12-08-2025,13-08-2025,1,Approved,Cancelled,6810055.56
PO000119,19-07-2025,S0065,P0007,WH001,CT00367,Domestic,877,61627.41,54047238.57,645594.5,0,0,9844709.95,64537543.02,INR,1,Air,22-07-2025,22-07-2025,0,Pending,Cancelled,54047238.57
PO000120,23-07-2026,S0054,P0121,WH003,CT00421,Domestic,94,16162.92,1519314.48,12499.12,0,0,275726.45,1807540.05,INR,1,Road,14-08-2026,15-08-2026,1,Approved,Delivered,1519314.48
PO000121,28-02-2026,S0069,P0043,WH003,CT00502,Domestic,621,21199.52,13164901.92,129989.38,0,0,2393080.43,15687971.73,INR,1,Air,10-03-2026,10-03-2026,0,Approved,Partially Delivered,13164901.92
PO000122,17-09-2025,S0002,P0057,WH001,CT00202,Domestic,406,44442.31,18043577.86,204557.12,0,0,3284664.3,21532799.28,INR,1,Air,28-09-2025,01-10-2025,3,Approved,Delivered,18043577.86
PO000123,09-02-2025,S0097,P0032,WH002,CT00004,Domestic,671,16855.14,11309798.94,156357.36,0,0,2063908.13,13530064.43,INR,1,Road,03-03-2025,03-03-2025,0,Pending,Cancelled,11309798.94
PO000124,22-10-2025,S0014,P0257,WH001,CT00112,Domestic,952,65308.53,62173720.56,1156481.05,0,0,11399436.29,74729637.9,INR,1,Rail,08-11-2025,16-11-2025,8,Approved,Delivered,62173720.56
PO000125,20-01-2025,S0012,P0282,WH003,CT00320,Domestic,207,38560.47,7982017.29,131019.73,0,0,1460346.66,9573383.68,INR,1,Rail,22-02-2025,22-02-2025,0,Approved,Delivered,7982017.29
PO000126,30-11-2025,S0066,P0136,WH001,CT00576,Domestic,32,37694.21,1206214.72,23596.49,0,0,221366.02,1451177.23,INR,1,Road,02-01-2026,04-01-2026,2,Pending,Delivered,1206214.72
