Invoice_ID,PO_ID,Supplier_ID,Invoice_Date,Receipt_Date,Due_Date,Invoice_Amount_INR,Currency,Exchange_Rate_to_INR,Payment_Status,Paid_Date,Matching_Status,Invoice_Approval_Status
INV000040,PO000040,S0109,2025-03-25,2025-04-23,2025-05-23,35709068.36,INR,1.0,Paid,2025-05-23,Three-Way Match,Approved
INV000041,PO000041,S0063,2026-06-06,2026-06-22,2026-07-22,25814374.42,INR,1.0,Paid,2026-07-19,Three-Way Match,Approved
INV000042,PO000042,S0073,2025-12-24,2025-12-29,2026-02-27,18638394.75,INR,1.0,Paid,2026-02-24,Three-Way Match,Approved
INV000043,PO000043,S0026,2025-12-07,2025-12-24,2026-03-24,26255758.87,INR,1.0,Paid,2026-03-19,Three-Way Match,Approved
INV000044,PO000044,S0110,2025-08-04,2025-08-19,2025-09-18,30277406.28,INR,1.0,Pending,,Three-Way Match,Pending
INV000045,PO000045,S0001,2025-11-22,2025-12-04,2026-03-04,36001262.77,INR,1.0,Overdue,,Three-Way Match,Pending
INV000046,PO000046,S0093,2025-06-11,2025-06-22,2025-08-21,30373968.46,INR,1.0,Overdue,,Three-Way Match,Approved
INV000047,PO000047,S0002,2025-04-21,2025-05-20,2025-08-18,62507686.77,INR,1.0,Partially Paid,,Three-Way Match,Approved
INV000048,PO000048,S0118,2025-10-26,2025-11-29,2026-01-13,11308400.34,INR,1.0,Paid,2026-01-09,Three-Way Match,Approved
INV000049,PO000049,S0116,2025-01-17,2025-02-09,2025-03-11,30826960.15,INR,1.0,Paid,2025-03-08,Three-Way Match,Approved
INV000050,PO000050,S0010,2025-07-24,2025-08-22,2025-10-21,19616880.08,INR,1.0,Paid,2025-10-18,Three-Way Match,Pending
INV000051,PO000051,S0112,2026-01-04,2026-02-08,2026-05-09,11457737.78,INR,1.0,Paid,2026-05-06,Three-Way Match,Pending
INV000052,PO000052,S0107,2025-06-02,2025-07-02,2025-08-31,9276908.48,INR,1.0,Paid,2025-08-30,Manual Review,Pending
INV000053,PO000053,S0039,2025-05-27,2025-06-17,2025-09-15,75283241.39,INR,1.0,Paid,2025-09-14,Manual Review,Approved
INV000054,PO000054,S0040,2025-01-06,2025-01-21,2025-02-20,1094548.22,INR,1.0,Paid,2025-02-19,Three-Way Match,Pending
INV000055,PO000055,S0098,2026-03-02,2026-03-19,2026-06-17,7919638.38,INR,1.0,Paid,2026-06-11,Manual Review,Approved
INV000056,PO000056,S0004,2025-03-03,2025-03-25,2025-05-09,3624808.39,INR,1.0,Paid,2025-05-08,Three-Way Match,Approved
INV000057,PO000057,S0103,2025-03-26,2025-04-23,2025-05-23,66292411.87,INR,1.0,Paid,2025-05-20,Three-Way Match,Approved
INV000058,PO000058,S0080,2025-01-29,2025-02-21,2025-04-22,42823848.0,INR,1.0,Pending,,Three-Way Match,Approved
INV000059,PO000059,S0035,2025-01-25,2025-02-03,2025-03-20,949622.79,INR,1.0,Pending,,Manual Review,Approved
INV000060,PO000060,S0029,2025-12-23,2026-01-21,2026-04-21,45054394.83,INR,1.0,Paid,2026-04-17,Three-Way Match,Approved
INV000061,PO000061,S0118,2026-05-20,2026-06-22,2026-07-22,21336954.53,INR,1.0,Overdue,,Manual Review,Pending
INV000062,PO000062,S0056,2025-05-12,2025-06-18,2025-08-02,40465489.13,INR,1.0,Pending,,Three-Way Match,Approved
INV000063,PO000063,S0113,2026-07-03,2026-07-07,2026-09-05,35724743.14,INR,1.0,Paid,2026-08-27,Manual Review,Approved
INV000064,PO000064,S0079,2025-09-17,2025-10-22,2025-12-21,7395160.24,INR,1.0,Paid,2025-12-18,Three-Way Match,Approved
INV000065,PO000065,S0124,2025-01-06,2025-02-03,2025-03-05,26212521.49,INR,1.0,Paid,2025-03-05,Three-Way Match,Pending
INV000066,PO000066,S0058,2025-12-13,2026-01-15,2026-03-01,25670475.19,INR,1.0,Paid,2026-03-01,Three-Way Match,Approved
INV000067,PO000067,S0117,2025-06-07,2025-07-09,2025-08-23,9141350.38,INR,1.0,Paid,2025-08-21,Three-Way Match,Approved
INV000068,PO000068,S0003,2026-03-25,2026-04-08,2026-05-08,38773791.23,INR,1.0,Partially Paid,,Three-Way Match,Approved
INV000069,PO000069,S0077,2025-10-06,2025-10-27,2025-11-26,28758640.93,INR,1.0,Paid,2025-11-26,Three-Way Match,Pending
INV000070,PO000070,S0024,2026-06-02,2026-07-01,2026-08-15,33875782.09,INR,1.0,Overdue,,Manual Review,Pending
INV000071,PO000071,S0088,2025-10-19,2025-11-23,2026-01-07,45837474.61,INR,1.0,Paid,2025-12-29,Manual Review,Pending
INV000072,PO000072,S0070,2026-06-17,2026-07-16,2026-10-14,14345439.12,INR,1.0,Pending,,Three-Way Match,Approved
INV000073,PO000073,S0062,2025-01-03,2025-01-09,2025-04-09,40146742.34,INR,1.0,Pending,,Three-Way Match,Approved
INV000074,PO000074,S0067,2025-02-14,2025-02-27,2025-03-29,52855117.99,INR,1.0,Overdue,,Three-Way Match,Approved
INV000075,PO000075,S0111,2025-04-02,2025-04-23,2025-06-22,46564577.78,INR,1.0,Paid,2025-06-17,Manual Review,Approved
INV000076,PO000076,S0054,2026-02-19,2026-03-09,2026-06-07,11938496.22,INR,1.0,Paid,2026-05-28,Three-Way Match,Pending
INV000077,PO000077,S0010,2025-04-10,2025-05-05,2025-07-04,36212428.61,INR,1.0,Paid,2025-06-30,Three-Way Match,Pending
INV000078,PO000078,S0108,2025-04-06,2025-05-10,2025-06-24,31823904.2,INR,1.0,Paid,2025-06-21,Three-Way Match,Pending
INV000079,PO000079,S0041,2026-06-10,2026-06-28,2026-09-26,58950413.39,INR,1.0,Paid,2026-09-20,Three-Way Match,Pending
INV000080,PO000080,S0040,2025-03-07,2025-03-17,2025-05-01,17840084.68,INR,1.0,Paid,2025-04-24,Manual Review,Approved
INV000081,PO000081,S0030,2026-05-12,2026-05-28,2026-07-27,83280434.4,INR,1.0,Paid,2026-07-22,Three-Way Match,Approved
INV000082,PO000082,S0079,2025-02-01,2025-03-03,2025-04-17,459908.85,INR,1.0,Paid,2025-04-10,Manual Review,Approved
INV000083,PO000083,S0032,2025-05-15,2025-05-25,2025-07-24,2531809.33,INR,1.0,Paid,2025-07-19,Three-Way Match,Approved
INV000084,PO000084,S0051,2025-11-28,2025-12-12,2026-01-26,11118078.94,INR,1.0,Paid,2026-01-16,Three-Way Match,Approved
INV000085,PO000085,S0043,2026-07-21,2026-08-01,2026-09-30,8136882.02,INR,1.0,Paid,2026-09-20,Three-Way Match,Approved
INV000086,PO000086,S0052,2025-03-03,2025-03-24,2025-05-23,48885196.57,INR,1.0,Paid,2025-05-15,Three-Way Match,Approved
INV000087,PO000087,S0007,2025-10-06,2025-10-27,2025-12-26,6466454.94,INR,1.0,Paid,2025-12-26,Three-Way Match,Pending
INV000088,PO000088,S0107,2025-01-22,2025-02-17,2025-05-18,37929656.46,INR,1.0,Paid,2025-05-12,Manual Review,Approved
INV000089,PO000089,S0032,2026-04-15,2026-04-23,2026-05-23,26944185.37,INR,1.0,Paid,2026-05-14,Three-Way Match,Approved
INV000090,PO000090,S0122,2025-05-12,2025-05-22,2025-07-21,30651163.95,INR,1.0,Paid,2025-07-19,Manual Review,Approved
INV000091,PO000091,S0099,2026-05-28,2026-06-11,2026-07-11,71311378.03,INR,1.0,Paid,2026-07-04,Three-Way Match,Approved
INV000092,PO000092,S0070,2025-04-20,2025-05-21,2025-06-20,1746468.12,INR,1.0,Paid,2025-06-14,Manual Review,Pending
INV000093,PO000093,S0035,2026-01-09,2026-01-22,2026-03-23,16976378.39,INR,1.0,Pending,,Manual Review,Pending
INV000094,PO000094,S0109,2025-09-02,2025-10-05,2025-11-04,23539737.42,INR,1.0,Paid,2025-10-29,Three-Way Match,Approved
INV000095,PO000095,S0078,2025-12-03,2026-01-07,2026-02-21,24214507.62,INR,1.0,Pending,,Three-Way Match,Pending
INV000096,PO000096,S0031,2025-03-15,2025-04-24,2025-05-24,37172382.17,INR,1.0,Paid,2025-05-24,Manual Review,Pending
INV000097,PO000097,S0077,2025-04-30,2025-06-12,2025-08-11,1411941.02,INR,1.0,Paid,2025-08-04,Three-Way Match,Pending
INV000098,PO000098,S0031,2025-10-31,2025-11-22,2025-12-22,9174568.43,INR,1.0,Paid,2025-12-19,Three-Way Match,Approved
INV000099,PO000099,S0003,2026-02-26,2026-03-13,2026-04-27,2051937.6,INR,1.0,Overdue,,Three-Way Match,Pending
INV000100,PO000100,S0108,2026-02-08,2026-03-18,2026-05-17,70195762.56,INR,1.0,Pending,,Three-Way Match,Approved
INV000101,PO000101,S0042,2026-05-20,2026-06-17,2026-07-17,16908753.65,INR,1.0,Overdue,,Manual Review,Approved
INV000102,PO000102,S0007,2026-03-01,2026-04-02,2026-05-17,5331465.13,INR,1.0,Paid,2026-05-13,Manual Review,Approved
INV000103,PO000103,S0003,2025-08-17,2025-09-09,2025-10-09,29618128.5,INR,1.0,Paid,2025-09-29,Three-Way Match,Approved
INV000104,PO000104,S0028,2025-05-26,2025-06-04,2025-08-03,650190.69,INR,1.0,Paid,2025-07-27,Three-Way Match,Approved
INV000105,PO000105,S0019,2026-01-15,2026-02-17,2026-04-03,28861697.34,INR,1.0,Paid,2026-03-26,Three-Way Match,Approved
INV000106,PO000106,S0068,2025-02-04,2025-02-21,2025-05-22,20181158.85,INR,1.0,Paid,2025-05-15,Three-Way Match,Approved
INV000107,PO000107,S0051,2026-07-19,2026-08-05,2026-09-19,24422909.07,INR,1.0,Paid,2026-09-15,Three-Way Match,Pending
INV000108,PO000108,S0040,2025-04-22,2025-05-12,2025-07-11,85645604.33,INR,1.0,Partially Paid,,Three-Way Match,Approved
INV000109,PO000109,S0054,2025-05-07,2025-05-28,2025-06-27,15243026.53,INR,1.0,Overdue,,Three-Way Match,Approved
INV000110,PO000110,S0060,2025-03-26,2025-04-21,2025-05-21,49245333.14,INR,1.0,Paid,2025-05-20,Three-Way Match,Approved
INV000111,PO000111,S0080,2026-02-27,2026-03-23,2026-05-07,28979838.55,INR,1.0,Pending,,Three-Way Match,Pending
INV000112,PO000112,S0120,2026-05-23,2026-06-21,2026-09-19,27315103.23,INR,1.0,Pending,,Manual Review,Pending
INV000113,PO000113,S0098,2026-04-18,2026-05-04,2026-08-02,36786148.36,INR,1.0,Pending,,Three-Way Match,Approved
INV000114,PO000114,S0076,2025-11-23,2025-12-23,2026-02-21,63194690.37,INR,1.0,Paid,2026-02-11,Three-Way Match,Approved
INV000115,PO000115,S0013,2025-11-05,2025-12-04,2026-03-04,17546999.57,INR,1.0,Paid,2026-03-02,Three-Way Match,Approved
INV000116,PO000116,S0059,2026-05-03,2026-06-09,2026-09-07,6774862.6,INR,1.0,Paid,2026-09-07,Three-Way Match,Approved
INV000117,PO000117,S0047,2026-01-27,2026-02-24,2026-04-25,9596570.4,INR,1.0,Paid,2026-04-24,Manual Review,Approved
INV000118,PO000118,S0002,2025-07-25,2025-08-13,2025-09-12,8145441.75,INR,1.0,Overdue,,Three-Way Match,Pending
INV000119,PO000119,S0065,2025-07-19,2025-07-22,2025-09-05,64537543.02,INR,1.0,Paid,2025-09-03,Three-Way Match,Approved
INV000120,PO000120,S0054,2026-07-23,2026-08-15,2026-10-14,1807540.05,INR,1.0,Paid,2026-10-08,Three-Way Match,Approved
INV000121,PO000121,S0069,2026-02-28,2026-03-10,2026-04-09,15687971.73,INR,1.0,Paid,2026-04-06,Three-Way Match,Approved
INV000122,PO000122,S0002,2025-09-17,2025-10-01,2025-11-30,21532799.28,INR,1.0,Paid,2025-11-27,Manual Review,Approved
INV000123,PO000123,S0097,2025-02-09,2025-03-03,2025-05-02,13530064.43,INR,1.0,Paid,2025-04-22,Manual Review,Approved
INV000124,PO000124,S0014,2025-10-22,2025-11-16,2025-12-16,74729637.9,INR,1.0,Pending,,Three-Way Match,Approved
INV000125,PO000125,S0012,2025-01-20,2025-02-22,2025-03-24,9573383.68,INR,1.0,Paid,2025-03-14,Manual Review,Approved
INV000126,PO000126,S0066,2025-11-30,2026-01-04,2026-02-18,1451177.23,INR,1.0,Paid,2026-02-09,Three-Way Match,Approved
INV000127,PO000127,S0062,2026-06-08,2026-06-23,2026-08-07,1560115.13,INR,1.0,Pending,,Manual Review,Approved
INV000128,PO000128,S0019,2026-07-28,2026-09-01,2026-11-30,5885696.46,INR,1.0,Paid,2026-11-25,Three-Way Match,Approved
INV000129,PO000129,S0028,2025-10-24,2025-11-02,2026-01-31,17278378.84,INR,1.0,Paid,2026-01-24,Three-Way Match,Approved
INV000130,PO000130,S0066,2025-06-13,2025-07-17,2025-10-15,61827560.97,INR,1.0,Pending,,Three-Way Match,Approved
INV000131,PO000131,S0006,2025-05-31,2025-06-14,2025-07-29,49265053.83,INR,1.0,Partially Paid,,Manual Review,Approved
INV000132,PO000132,S0107,2025-08-22,2025-09-25,2025-11-09,30775239.15,INR,1.0,Paid,2025-11-02,Three-Way Match,Approved
INV000133,PO000133,S0110,2025-10-21,2025-11-02,2025-12-17,53952116.0,INR,1.0,Paid,2025-12-10,Three-Way Match,Approved
INV000134,PO000134,S0081,2026-04-23,2026-05-08,2026-07-07,10020527.6,INR,1.0,Paid,2026-07-04,Three-Way Match,Approved
INV000135,PO000135,S0072,2025-12-17,2026-01-15,2026-03-16,90836627.16,INR,1.0,Pending,,Three-Way Match,Approved
INV000136,PO000136,S0090,2025-05-29,2025-06-14,2025-09-12,20914622.91,INR,1.0,Pending,,Three-Way Match,Approved
INV000137,PO000137,S0004,2026-07-18,2026-07-28,2026-09-11,20022557.83,INR,1.0,Paid,2026-09-05,Three-Way Match,Approved
INV000138,PO000138,S0026,2026-02-05,2026-03-02,2026-05-31,4688088.86,INR,1.0,Paid,2026-05-21,Three-Way Match,Pending
INV000139,PO000139,S0117,2025-08-26,2025-09-25,2025-12-24,5669204.83,INR,1.0,Paid,2025-12-16,Manual Review,Pending
INV000140,PO000140,S0035,2025-07-09,2025-07-15,2025-10-13,1849671.52,INR,1.0,Paid,2025-10-06,Manual Review,Approved
INV000141,PO000141,S0073,2025-05-11,2025-05-20,2025-07-19,16044148.48,INR,1.0,Paid,2025-07-13,Three-Way Match,Pending
INV000142,PO000142,S0105,2026-03-11,2026-03-23,2026-06-21,53299431.75,INR,1.0,Paid,2026-06-11,Three-Way Match,Approved
INV000143,PO000143,S0083,2025-08-08,2025-09-01,2025-11-30,6418499.87,INR,1.0,Paid,2025-11-24,Three-Way Match,Approved
INV000144,PO000144,S0098,2026-04-20,2026-05-05,2026-06-04,6175164.18,INR,1.0,Pending,,Three-Way Match,Approved
INV000145,PO000145,S0007,2026-02-26,2026-03-26,2026-05-25,18510243.26,INR,1.0,Paid,2026-05-24,Three-Way Match,Approved
INV000146,PO000146,S0035,2025-08-06,2025-08-19,2025-09-18,7217444.05,INR,1.0,Paid,2025-09-11,Three-Way Match,Approved
INV000147,PO000147,S0048,2025-08-14,2025-08-27,2025-10-26,8103303.46,INR,1.0,Pending,,Three-Way Match,Pending
INV000148,PO000148,S0115,2025-06-25,2025-07-23,2025-09-21,18920035.74,INR,1.0,Paid,2025-09-19,Manual Review,Pending
INV000149,PO000149,S0039,2026-07-15,2026-08-01,2026-10-30,12856594.67,INR,1.0,Paid,2026-10-27,Three-Way Match,Pending
INV000150,PO000150,S0052,2025-03-06,2025-03-30,2025-04-29,29195310.31,INR,1.0,Paid,2025-04-26,Manual Review,Approved
INV000151,PO000151,S0013,2025-10-03,2025-10-29,2025-11-28,36677579.04,INR,1.0,Paid,2025-11-28,Three-Way Match,Pending
INV000152,PO000152,S0070,2026-01-10,2026-02-08,2026-04-09,36231430.43,INR,1.0,Paid,2026-04-05,Manual Review,Approved
INV000153,PO000153,S0099,2025-01-09,2025-01-25,2025-02-24,67326183.78,INR,1.0,Pending,,Manual Review,Approved
INV000154,PO000154,S0071,2025-08-04,2025-09-02,2025-11-01,47657409.94,INR,1.0,Paid,2025-11-01,Three-Way Match,Approved
INV000155,PO000155,S0039,2026-03-03,2026-04-01,2026-06-30,28992579.2,INR,1.0,Partially Paid,,Manual Review,Approved
INV000156,PO000156,S0097,2025-08-27,2025-09-18,2025-11-02,25516935.12,INR,1.0,Paid,2025-10-29,Three-Way Match,Approved
INV000157,PO000157,S0082,2026-01-02,2026-01-10,2026-04-10,3957424.98,INR,1.0,Pending,,Three-Way Match,Approved
INV000158,PO000158,S0097,2025-06-30,2025-07-14,2025-09-12,16385157.71,INR,1.0,Partially Paid,,Manual Review,Approved
INV000159,PO000159,S0021,2026-05-09,2026-05-25,2026-07-24,90979461.06,INR,1.0,Paid,2026-07-16,Three-Way Match,Approved
INV000160,PO000160,S0005,2025-03-26,2025-04-07,2025-05-22,29804947.66,INR,1.0,Pending,,Three-Way Match,Pending
INV000161,PO000161,S0064,2025-01-03,2025-01-27,2025-02-26,18629110.71,INR,1.0,Paid,2025-02-18,Three-Way Match,Approved
INV000162,PO000162,S0107,2025-08-25,2025-09-25,2025-10-25,9524903.53,INR,1.0,Partially Paid,,Three-Way Match,Approved
INV000163,PO000163,S0080,2026-05-29,2026-06-28,2026-08-12,23296115.52,INR,1.0,Paid,2026-08-07,Three-Way Match,Approved
INV000164,PO000164,S0046,2025-02-25,2025-03-29,2025-06-27,9791757.36,INR,1.0,Pending,,Three-Way Match,Pending
INV000165,PO000165,S0055,2025-09-06,2025-09-30,2025-11-29,7659122.36,INR,1.0,Paid,2025-11-23,Three-Way Match,Approved
INV000166,PO000166,S0088,2025-05-05,2025-05-31,2025-07-15,26099108.3,INR,1.0,Paid,2025-07-07,Three-Way Match,Approved
INV000167,PO000167,S0112,2025-09-26,2025-10-29,2025-12-13,62917432.25,INR,1.0,Paid,2025-12-04,Three-Way Match,Pending
INV000168,PO000168,S0018,2025-11-16,2025-11-28,2025-12-28,88114661.52,INR,1.0,Pending,,Manual Review,Approved
INV000169,PO000169,S0090,2026-06-13,2026-06-29,2026-07-29,58974380.87,INR,1.0,Partially Paid,,Three-Way Match,Pending
INV000170,PO000170,S0080,2025-02-28,2025-03-25,2025-06-23,384981.31,INR,1.0,Paid,2025-06-13,Manual Review,Pending
INV000171,PO000171,S0078,2025-11-16,2025-12-09,2026-01-08,19515015.83,INR,1.0,Paid,2026-01-01,Manual Review,Approved
INV000172,PO000172,S0010,2026-06-28,2026-07-21,2026-10-19,21003050.27,INR,1.0,Paid,2026-10-15,Three-Way Match,Approved
INV000173,PO000173,S0077,2026-07-27,2026-08-17,2026-10-16,79617537.88,INR,1.0,Pending,,Three-Way Match,Approved
INV000174,PO000174,S0062,2025-04-28,2025-05-01,2025-06-30,48346800.24,INR,1.0,Paid,2025-06-28,Three-Way Match,Approved
INV000175,PO000175,S0039,2025-07-30,2025-08-17,2025-10-16,6297074.72,INR,1.0,Paid,2025-10-16,Manual Review,Approved
INV000176,PO000176,S0109,2025-09-30,2025-10-28,2025-11-27,496159.07,INR,1.0,Paid,2025-11-22,Three-Way Match,Approved
INV000177,PO000177,S0032,2025-06-05,2025-06-11,2025-07-26,55818031.88,INR,1.0,Paid,2025-07-17,Three-Way Match,Approved
INV000178,PO000178,S0006,2026-01-16,2026-01-23,2026-04-23,63640122.12,INR,1.0,Paid,2026-04-19,Three-Way Match,Pending
INV000179,PO000179,S0037,2026-03-14,2026-04-17,2026-06-16,11342647.17,INR,1.0,Pending,,Three-Way Match,Pending
INV000180,PO000180,S0078,2026-06-13,2026-07-12,2026-10-10,3924151.88,INR,1.0,Paid,2026-10-04,Manual Review,Pending
INV000181,PO000181,S0078,2026-02-27,2026-03-22,2026-04-21,36790744.98,INR,1.0,Partially Paid,,Three-Way Match,Approved
INV000182,PO000182,S0108,2025-12-29,2026-02-05,2026-04-06,62557071.13,INR,1.0,Paid,2026-03-31,Three-Way Match,Approved
INV000183,PO000183,S0004,2026-04-22,2026-05-07,2026-06-21,2517628.51,INR,1.0,Paid,2026-06-20,Manual Review,Approved
INV000184,PO000184,S0019,2026-07-07,2026-08-13,2026-09-27,51047134.16,INR,1.0,Paid,2026-09-18,Three-Way Match,Approved
INV000185,PO000185,S0007,2025-11-23,2025-12-20,2026-02-18,13651553.23,INR,1.0,Paid,2026-02-16,Three-Way Match,Approved
INV000186,PO000186,S0121,2026-05-25,2026-06-15,2026-08-14,31862429.86,INR,1.0,Paid,2026-08-08,Manual Review,Approved
INV000187,PO000187,S0081,2025-10-07,2025-10-18,2025-12-17,22820241.76,INR,1.0,Paid,2025-12-14,Three-Way Match,Pending
INV000188,PO000188,S0068,2025-08-22,2025-09-15,2025-10-30,10208047.31,INR,1.0,Pending,,Three-Way Match,Pending
INV000189,PO000189,S0043,2025-12-31,2026-01-16,2026-04-16,41829932.95,INR,1.0,Overdue,,Three-Way Match,Approved
INV000190,PO000190,S0051,2026-05-27,2026-06-13,2026-09-11,18633645.63,INR,1.0,Paid,2026-09-11,Manual Review,Pending
INV000191,PO000191,S0003,2026-02-26,2026-03-13,2026-05-12,5491645.25,INR,1.0,Paid,2026-05-06,Manual Review,Approved
INV000192,PO000192,S0106,2025-09-06,2025-09-11,2025-11-10,5468090.05,INR,1.0,Paid,2025-11-01,Three-Way Match,Pending
INV000193,PO000193,S0011,2026-01-12,2026-02-11,2026-03-13,24064145.2,INR,1.0,Pending,,Three-Way Match,Pending
INV000194,PO000194,S0050,2026-04-27,2026-05-15,2026-06-29,32982753.53,INR,1.0,Paid,2026-06-25,Three-Way Match,Approved
INV000195,PO000195,S0113,2026-02-22,2026-03-08,2026-04-22,27826786.38,INR,1.0,Paid,2026-04-18,Three-Way Match,Approved
INV000196,PO000196,S0048,2025-03-07,2025-03-29,2025-04-28,20539800.31,INR,1.0,Paid,2025-04-22,Manual Review,Approved
INV000197,PO000197,S0084,2026-03-30,2026-05-05,2026-08-03,27301897.63,INR,1.0,Overdue,,Three-Way Match,Pending
INV000198,PO000198,S0001,2026-04-05,2026-04-22,2026-05-22,20610837.62,INR,1.0,Pending,,Three-Way Match,Pending
INV000199,PO000199,S0059,2025-02-20,2025-03-19,2025-05-18,54477544.2,INR,1.0,Overdue,,Three-Way Match,Approved
INV000200,PO000200,S0056,2025-05-16,2025-06-15,2025-09-13,53010193.06,INR,1.0,Paid,2025-09-09,Manual Review,Approved
